ID,Smiles,Tg,Polymer type
P040074.mol,*C(C*)(C(=O)OCCc1ccccc1)C,49.0,"Polyacrylics, Polyvinyls"
P040081.mol,*C(C*)(C(=O)OCCF)C,90.0,"Polyacrylics, Polyvinyls"
P040082.mol,*C(C*)(C(=O)OCCCl)C,62.0,"Polyacrylics, Polyvinyls"
P040083.mol,*C(C*)(C(=O)OCCBr)C,52.0,"Polyacrylics, Polyvinyls"
P040084.mol,*C(C*)(C(=O)OCC(F)(F)F)C,78.27,"Polyacrylics, Polyvinyls"
P040085.mol,*C(C*)(C(=O)OCC(C(F)F)(F)F)C,80.0,"Polyacrylics, Polyvinyls"
P040088.mol,*C(C*)(C(=O)OC(C(F)(F)F)C(F)(F)F)C,73.0,"Polyacrylics, Polyvinyls"
P040097.mol,*C(C*)(C(=O)Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)C,110.0,"Polyacrylics, Polyvinyls"
P040099.mol,*C(C*)(C(=O)OCc1c(cccc1)Cl)C,54.1,"Polyacrylics, Polyvinyls"
P040102.mol,*C(C*)(C(=O)OCCO)C,83.78,"Polyacrylics, Polyvinyls"
P040106.mol,*C(C*)(C(=O)OCC1OCCC1)C,105.0,"Polyacrylics, Polyvinyls"
P040107.mol,*C(C*)(C(=O)OCc1occc1)C,111.0,"Polyacrylics, Polyvinyls"
P040112.mol,*C(C*)(C(=O)OCCN(C)C)C,24.75,"Polyacrylics, Polyvinyls"
P040114.mol,*C(C*)(C(=O)OCCN(CC)CC)C,26.0,"Polyacrylics, Polyvinyls"
P040116.mol,*C(C*)(C(=O)OC)Cl,125.0,"Polyacrylics, Polyvinyls"
P040117.mol,*C(C*)(C(=O)OCC)Cl,85.31,"Polyacrylics, Polyvinyls"
P040127.mol,*C(C*)C(=O)N,178.5,"Polyacrylics, Polyvinyls"
P040128.mol,*C(C*)C(=O)NC(C)C,132.69,"Polyacrylics, Polyvinyls"
P040141.mol,*C(C*)C(=O)OC(CC)CC,-6.0,"Polyacrylics, Polyvinyls"
P040145.mol,*C(C*)C(=O)OCC(C(C(C(F)F)(F)F)(F)F)(F)F,-35.0,"Polyacrylics, Polyvinyls"
P040147.mol,*C(C*)C(=O)OCC(CCCC)CC,-62.58,"Polyacrylics, Polyvinyls"
P040148.mol,*C(C*)C(=O)OCCCCCCCCC,-89.0,"Polyacrylics, Polyvinyls"
P040149.mol,*C(C*)C(=O)OC1CCCCC1,23.69,"Polyacrylics, Polyvinyls"
P040150.mol,*C(C*)C(=O)OC1CC(CC(C1)C)(C)C,15.0,"Polyacrylics, Polyvinyls"
P040152.mol,*C(C*)(C(=O)OCCCCCCCCCC)C,-64.5,"Polyacrylics, Polyvinyls"
P040155.mol,*C(C*)(C(=O)OC1C2(CCC(C1)C2(C)C)C)C,149.83,"Polyacrylics, Polyvinyls"
P040156.mol,*C(C*)(C(=O)OCCC)Cl,66.0,"Polyacrylics, Polyvinyls"
P040157.mol,*C(C*)(C(=O)OCCCC)Cl,42.0,"Polyacrylics, Polyvinyls"
P040159.mol,*C(C*)(C(=O)OC)C#N,130.0,"Polyacrylics, Polyvinyls"
