ID,Smiles,Tg,Polymer type
P074254.mol,*Oc1ccc(cc1)OC(=O)c1ccc(cc1)OCCOCCOCCOc1ccc(cc1)C(=O)Oc1ccc(cc1)OCCCCCCCCCC*,64.0,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P074381.mol,*Oc1c(cc(cc1)OC(=O)c1ccc(cc1)OCCCCCCCCOc1ccc(cc1)C(=O)*)C(=O)CC,70.0,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P079048.mol,*c1ccc2C3(OC(=O)c4ccccc34)c3c(Oc2c1)cc(cc3)OC(=O)c1cc(ccc1)C(=O)O*,276.0,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P080133.mol,*C1(NCC(NC1)(C(=O)OCC(CSCC(COC(=O)*)(C)C)(C)C)C)C,40.0,"Polysulfides, Polyesters/thioesters, Polyimines"
P084392.mol,*Oc1c(cc(cc1)OC(=O)c1ccc(cc1)Sc1cc(ccc1)OC(=O)c1ccc(cc1)C(=O)Oc1cc(ccc1)Sc1ccc(cc1)C(=O)*)C,135.0,"Polysulfides, Polyesters/thioesters"
P084393.mol,*Oc1c(cc(cc1)OC(=O)c1cc(ccc1)Sc1ccc(cc1)OC(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)Sc1cc(ccc1)C(=O)*)C,106.5,"Polysulfides, Polyesters/thioesters"
P084394.mol,*Oc1c(cc(cc1)OC(=O)c1cc(ccc1)Sc1ccc(cc1)OC(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)Sc1cc(ccc1)C(=O)*)c1ccccc1,128.0,"Polysulfides, Polyesters/thioesters"
P090003.mol,*OC(=O)CCC(=O)OCC*,-11.33,Polyesters/thioesters
P090004.mol,*OC(=O)CCC(=O)OCCC*,-34.42,Polyesters/thioesters
P090005.mol,*OC(=O)CCC(=O)OCCCC*,-22.65,Polyesters/thioesters
P090007.mol,*OC(=O)CCCC(=O)OCCC*,-33.67,Polyesters/thioesters
P090009.mol,*OC(=O)CCCCC(=O)OCC*,-61.91,Polyesters/thioesters
P090010.mol,*OC(=O)CCCCC(=O)OCCC*,-52.17,Polyesters/thioesters
P090011.mol,*OC(=O)CCCCC(=O)OCCCCCCCCCC*,-68.0,Polyesters/thioesters
P090014.mol,*OC(=O)CCCCCCC(=O)OCCC*,-58.75,Polyesters/thioesters
P090015.mol,*OC(=O)CCCCCCC(=O)OCCCCCCCCCC*,-22.0,Polyesters/thioesters
P090016.mol,*OC(=O)CCCCCCCC(=O)OCC*,-45.0,Polyesters/thioesters
P090020.mol,*OC(=O)CCCCCCCCC(=O)OCC*,-37.16,Polyesters/thioesters
P090022.mol,*OC(=O)CCCCCCCCC(=O)OCCCC*,-64.4,Polyesters/thioesters
P090023.mol,*OC(=O)CCCCCCCCC(=O)OCCCCCC*,-50.0,Polyesters/thioesters
P090025.mol,*OC(=O)CCCCCCCCC(=O)OCCCCCCCCCC*,-53.0,Polyesters/thioesters
P090027.mol,*OC(=O)c1ccc(cc1)C(=O)OCC*,77.74,Polyesters/thioesters
P090028.mol,*OC(=O)c1cc(ccc1)C(=O)OCC*,56.5,Polyesters/thioesters
P090029.mol,*OC(=O)c1ccc(cc1)C(=O)OCCCC*,45.52,Polyesters/thioesters
P090030.mol,*OC(=O)c1cc(ccc1)C(=O)OCCCC*,19.1,Polyesters/thioesters
P090031.mol,*OC(=O)c1ccc(cc1)C(=O)OCCCCC*,20.39,Polyesters/thioesters
P090032.mol,*OC(=O)c1ccc(cc1)C(=O)OCCCCCC*,17.08,Polyesters/thioesters
P090033.mol,*OC(=O)c1ccc(cc1)C(=O)OCCCCCCCCCC*,5.33,Polyesters/thioesters
P090034.mol,*OC(=O)c1ccc(cc1)C(=O)OCC1CCC(CC1)C*,83.89,Polyesters/thioesters
P090037.mol,*Oc1c(cc(cc1Cl)C(c1cc(c(c(c1)Cl)OC(=O)CCCCC(=O)*)Cl)(C)C)Cl,100.0,Polyesters/thioesters
P090038.mol,*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)C1CCC(CC1)C(=O)*)(C)C,150.0,Polyesters/thioesters
P090039.mol,*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)c1ccc(cc1)C(=O)*)(C)C,202.92,Polyesters/thioesters
P090040.mol,*Oc1ccc(cc1)Cc1ccc(cc1)OC(=O)c1cc(ccc1)C(=O)*,150.0,Polyesters/thioesters
P090041.mol,*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)c1cc(ccc1)C(=O)*)(C)C,166.08,Polyesters/thioesters
P090042.mol,*OC(=O)c1cc2c(cc1)ccc(c2)C(=O)OCC*,119.0,Polyesters/thioesters
P090043.mol,*OC(=O)c1cc2c(cc1)cc(cc2)C(=O)OCC*,121.43,Polyesters/thioesters
P090044.mol,*O[Si](CC(COC(=O)c1cc(ccc1)C(=O)OCC(C[Si](*)(C)C)(C)C)(C)C)(C)C,-52.0,"Polyesters/thioesters, Polysiloxanes/silanes"
P090046.mol,*SC(=O)CCCCC*,19.0,Polyesters/thioesters
P090051.mol,*OC(=O)CCCCC(=O)OCCCC*,-70.49,Polyesters/thioesters
P090052.mol,*OC(=O)CCCCC(=O)OCCCCC*,-70.33,Polyesters/thioesters
P090053.mol,*OC1CCC(CC1)OC(=O)CCCCC(=O)*,77.8,Polyesters/thioesters
P090055.mol,*OC(=O)CCCCCCCCC(=O)OCC#CC*,-30.88,Polyesters/thioesters
P090060.mol,*OC(=O)c1c(cccc1)C(=O)OCC*,70.88,Polyesters/thioesters
P090061.mol,*Oc1cc(ccc1)OC(=O)c1cc(ccc1)C(=O)*,141.6,Polyesters/thioesters
P090062.mol,*Oc1c(cc(cc1)C(c1cc(c(cc1)OC(=O)c1ccc(cc1)C(=O)*)C)(C)C)C,167.0,Polyesters/thioesters
P090064.mol,*Oc1ccc(cc1)C1(c2ccccc2c2ccccc12)c1ccc(cc1)OC(=O)c1cc(ccc1)C(=O)*,269.5,Polyesters/thioesters
P090065.mol,*C1(c2c(C(=O)O1)cccc2)c1ccc(cc1)OC(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)*,279.0,Polyesters/thioesters
P090066.mol,*C1(c2c(C(=O)O1)cccc2)c1ccc(cc1)OC(=O)c1cc(ccc1)C(=O)Oc1ccc(cc1)*,282.5,Polyesters/thioesters
P090075.mol,*OC(=O)c1c2c(ccc1)c(ccc2)C(=O)OCC*,75.0,Polyesters/thioesters
P090076.mol,*OC(=O)c1c2c(c(cc1)C(=O)OCC*)cccc2,64.0,Polyesters/thioesters
P090085.mol,*OC(=O)C*,55.86,Polyesters/thioesters
P090087.mol,*OC(=O)CCC*,-28.78,Polyesters/thioesters
P090088.mol,*OC(=O)CCCC*,-58.13,Polyesters/thioesters
P090089.mol,*OC(=O)CCCCC*,-57.39,Polyesters/thioesters
P090090.mol,*OC(=O)CCCCCCCCCC*,-46.05,Polyesters/thioesters
P090091.mol,*OC(=O)CCCCCCCCCCCC*,-41.37,Polyesters/thioesters
P090092.mol,*OC(=O)CCCCCCCCCCCCCC*,-35.42,Polyesters/thioesters
P090093.mol,*OC(=O)CCCCCC*,-14.0,Polyesters/thioesters
P090101.mol,*OC(=O)CCCCC(=O)OCCCCCC*,-70.67,Polyesters/thioesters
P090105.mol,*OC(=O)CCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCC*,-17.0,Polyesters/thioesters
P090110.mol,*OC(=O)CCCCC(=O)OCCCCCCCCCCCCCCCC*,-15.0,Polyesters/thioesters
P090111.mol,*OC(=O)CCCCCCC(=O)OCCCCCCCCCCCCCCCC*,-26.0,Polyesters/thioesters
P090134.mol,*OC(=O)c1ccc(cc1)C(=O)OCCC*,53.44,Polyesters/thioesters
P090135.mol,*OC(=O)c1cc(ccc1)C(=O)OCCCCCCCCCC*,-22.5,Polyesters/thioesters
P090136.mol,*OC(=O)c1ccc(cc1)C(=O)OCC(C(C*)C)C,37.5,Polyesters/thioesters
P090137.mol,*OC(=O)c1ccc(cc1)C(=O)OCC(C(C*)CC)CC,26.0,Polyesters/thioesters
P090138.mol,*OC(=O)c1ccc(cc1)C(=O)OCC(C(C*)CCC)CCC,19.67,Polyesters/thioesters
P090139.mol,*OC(=O)c1ccc(cc1)C(=O)OCC(C(C*)CCCC)CCCC,16.0,Polyesters/thioesters
P090140.mol,*OC(=O)c1ccc(cc1)C(=O)OCC(C(C*)CCCCCC)CCCCCC,-15.5,Polyesters/thioesters
P090141.mol,*OC(=O)c1ccc(cc1)C(=O)OCC(C(C*)CCCCCCCCCC)CCCCCCCCCC,-38.0,Polyesters/thioesters
P090142.mol,*OC(=O)c1ccc(cc1)C(=O)OCC(C(C*)CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC,-27.0,Polyesters/thioesters
P090143.mol,*OC(=O)c1ccc(cc1)C(=O)OCC(C(C*)C(C)C)C(C)C,65.0,Polyesters/thioesters
P090144.mol,*Oc1c(cc(cc1)OC(=O)c1ccc(cc1)C(=O)*)CCC(CC)C,237.0,Polyesters/thioesters
P090146.mol,*Oc1c(cc(cc1)OC(=O)c1ccc(cc1)C(=O)*)C1CCCCC1,206.0,Polyesters/thioesters
P090147.mol,*Oc1c(cc(cc1)OC(=O)c1ccc(cc1)C(=O)*)C1C2CCC(C1)C2,267.0,Polyesters/thioesters
P090163.mol,*OC(=O)c1cc(ccc1)C(=O)OCCCCC*,7.0,Polyesters/thioesters
P090164.mol,*OC(=O)c1cc(ccc1)C(=O)OCCCCCC*,5.5,Polyesters/thioesters
P090167.mol,*Oc1ccc(cc1)c1ccc(cc1)OC(=O)CCCCCCCCCCCCC(=O)*,95.0,Polyesters/thioesters
P090170.mol,*OC(=O)CCC(=O)OCC1CCC(CC1)C*,-1.0,Polyesters/thioesters
P090171.mol,*OC(=O)CCCCCC(=O)OCC*,-54.0,Polyesters/thioesters
P090172.mol,*OC(=O)c1ccc(cc1)C(=O)OCCCCCCC*,-1.0,Polyesters/thioesters
P090173.mol,*OC(=O)C(=O)OCCCCCC*,66.5,Polyesters/thioesters
P090175.mol,*OC(CC(=O)*)C,2.01,Polyesters/thioesters
P090176.mol,*OC(C(=O)*)C,53.36,Polyesters/thioesters
P090177.mol,*OC(=O)CC*,-24.18,Polyesters/thioesters
P090181.mol,*OC(CCC(C(=O)*)C1OCCCO1)CCC,17.4,Polyesters/thioesters
P090182.mol,*OC(=O)C(C*)(CC)CC,60.0,Polyesters/thioesters
P090183.mol,*OC(=O)C(C*)(C)C,-6.17,Polyesters/thioesters
P090184.mol,*OC(CC(=O)*)CC,-16.67,Polyesters/thioesters
P090185.mol,*OC(=O)C(C*)(CC)C,-7.4,Polyesters/thioesters
P090187.mol,*OC(=O)C(C*)C,-26.33,Polyesters/thioesters
P090188.mol,*OC(=O)C(C*)(CCC)C,7.35,Polyesters/thioesters
P090189.mol,*OC(CC(=O)*)C(Cl)(Cl)Cl,156.0,Polyesters/thioesters
P090190.mol,*OC(=O)c1ccc(cc1)C(=O)OCCCCCCCCC*,22.0,Polyesters/thioesters
P090191.mol,*OC(=O)c1ccc(cc1)C(=O)OCCCCCCCC*,23.0,Polyesters/thioesters
P090192.mol,*Oc1ccc(cc1)OC(=O)CCCCC(=O)*,90.0,Polyesters/thioesters
P090208.mol,*OC(=O)C1CCC(CC1)C(=O)OCC1CCC(CC1)C*,67.68,Polyesters/thioesters
P090212.mol,*OC(=O)c1cc(ccc1)C(=O)OCC1CCC(CC1)C*,70.0,Polyesters/thioesters
P090224.mol,*OC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)OCCCCCCCCCC*,-12.0,"Polyesters/thioesters, Polyamides/thioamides"
P090227.mol,*OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)OCCCCCCCCCC*,46.0,Polyesters/thioesters
P090259.mol,*OC(=O)CC(=O)OCCCCCCCCCCCCCCCCCCCC*,-35.1,Polyesters/thioesters
P090271.mol,*OC(=O)C1CCC(CC1)C(=O)OCC*,25.0,Polyesters/thioesters
P090276.mol,*OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)OCC*,60.0,Polyesters/thioesters
P090288.mol,*OC(COC(=O)c1cc(ccc1)C(=O)*)C,75.17,Polyesters/thioesters
P090336.mol,*Oc1cc(ccc1)C(=O)*,142.33,Polyesters/thioesters
P090339.mol,*Oc1ccc(cc1)CC(=O)*,117.0,Polyesters/thioesters
P090342.mol,*OC(CC(=O)*)C(Cl)(Cl)C,109.0,Polyesters/thioesters
P090353.mol,*SC(C(=O)*)C,12.0,Polyesters/thioesters
P090354.mol,*SC(=O)CCC(CC*)C,-50.0,Polyesters/thioesters
P090357.mol,*Oc1ccc(cc1)Cc1ccc(cc1)OC(=O)CCCCC(=O)*,60.5,Polyesters/thioesters
P090383.mol,*OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)OCCCCC*,45.25,Polyesters/thioesters
P090411.mol,*Oc1cc(ccc1)OC(=O)CCC(=O)*,38.2,Polyesters/thioesters
P090413.mol,*Oc1ccc(cc1)OC(=O)c1ccc(cc1)C(=O)*,267.0,Polyesters/thioesters
P090423.mol,*OC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)OCCCC*,-15.0,"Polyesters/thioesters, Polyamides/thioamides"
P090429.mol,*OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)OCCCC*,70.0,Polyesters/thioesters
P090437.mol,*OC(=O)CCCC(=O)OCCCC*,-36.5,Polyesters/thioesters
P090441.mol,*OC(=O)COCC(=O)OCCCC*,-27.0,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P090457.mol,*OC(=O)CCCCC(=O)OCC(C*)(C)C,-50.0,Polyesters/thioesters
P090459.mol,*OC(=O)C1CCC(CC1)C(=O)OCCC*,-6.0,Polyesters/thioesters
P090465.mol,*OC(CCOC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)*)C,86.83,Polyesters/thioesters
P090466.mol,*OC(=O)c1cc(ccc1)C(=O)OCCC*,36.0,Polyesters/thioesters
P090469.mol,*OC(=O)CCC(=O)OCC(C*)(C)C,-18.0,Polyesters/thioesters
P090479.mol,*OC(=O)c1ccc(cc1)C(=O)OCC(C*)(C)C,68.0,Polyesters/thioesters
P090498.mol,*OC(=O)c1cc(ccc1)C(=O)OCc1ccc(cc1)C*,143.0,Polyesters/thioesters
P090506.mol,*Oc1c(cc(cc1C)c1cc(c(c(c1)C)OC(=O)CCCCC(=O)*)C)C,108.0,Polyesters/thioesters
P090507.mol,*Oc1c(cc(cc1C)C(c1cc(c(c(c1)C)OC(=O)CCCCC(=O)*)C)(C)C)C,93.0,Polyesters/thioesters
P090508.mol,*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)CCCCC(=O)*)(C)C,54.0,Polyesters/thioesters
P090509.mol,*Oc1c(cc(cc1c1ccccc1)Cc1cc(c(c(c1)c1ccccc1)OC(=O)CCCCC(=O)*)c1ccccc1)c1ccccc1,115.0,Polyesters/thioesters
P090510.mol,*Oc1cc(cc(c1)CCCC)OC(=O)c1cc(ccc1)C(=O)*,97.5,Polyesters/thioesters
P090511.mol,*O[Sn](OC(=O)CCCCC(=O)*)(CCCC)CCCC,110.0,Polyesters/thioesters
P090512.mol,*O[Sn](OC(=O)c1ccc(cc1)C(=O)*)(CCCC)CCCC,315.0,Polyesters/thioesters
P090514.mol,*OC(=O)c1cc2c(cc1)cc(cc2)C(=O)OCCCCCCCCCC*,43.75,Polyesters/thioesters
P090515.mol,*OC(=O)CCC(CC*)C,-53.0,Polyesters/thioesters
P090516.mol,*OC(CCCC(C(=O)*)C)C,-33.0,Polyesters/thioesters
P090517.mol,*Oc1cc(cc(c1)CC)OC(=O)c1cc(ccc1)C(=O)*,138.0,Polyesters/thioesters
P090518.mol,*OC(=O)c1cc(cc(c1)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(=O)OCC(C(C(C*)(F)F)(F)F)(F)F,27.0,Polyesters/thioesters
P090519.mol,*OC(=O)c1cc(ccc1)c1cc(ccc1)C(=O)OCC(C(C(C*)(F)F)(F)F)(F)F,45.0,Polyesters/thioesters
P090520.mol,*OC(=O)c1cc(ccc1)C(C(C(C(C(c1cc(ccc1)C(=O)OCC(C(C(C*)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,19.83,Polyesters/thioesters
P090521.mol,*OC(=O)c1cc(ccc1)C(C(C(c1cc(ccc1)C(=O)OCC(C(C(C*)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,18.67,Polyesters/thioesters
P090526.mol,*Oc1cc(cc(c1)CCCCCC)OC(=O)c1cc(ccc1)C(=O)*,67.5,Polyesters/thioesters
P090527.mol,*Oc1ccc(cc1)c1ccc(cc1)OC(=O)c1cc(ccc1)C(=O)*,185.5,Polyesters/thioesters
P090528.mol,*OC(=O)c1cc(ccc1)C(=O)OCC(C(C(C*)(F)F)(F)F)(F)F,23.5,Polyesters/thioesters
P090529.mol,*Oc1c(cc(cc1)C(c1cc(c(cc1)OC(=O)c1cc(ccc1)C(=O)*)C)(C)C)C,162.0,Polyesters/thioesters
P090530.mol,*Oc1c(cc(cc1C)C(c1cc(c(c(c1)C)OC(=O)c1cc(ccc1)C(=O)*)C)(C)C)C,187.0,Polyesters/thioesters
P090534.mol,*Oc1ccc(cc1)C1(CCCCC1)c1ccc(cc1)OC(=O)c1cc(ccc1)C(=O)*,127.0,Polyesters/thioesters
P090535.mol,*Oc1c(cc(cc1C)c1cc(c(c(c1)C)OC(=O)CCCCCCCCC(=O)*)C)C,57.0,Polyesters/thioesters
P090536.mol,*OC1C(C(C1(C)C)OC(=O)C1CCC(CC1)C(=O)*)(C)C,169.0,Polyesters/thioesters
P090537.mol,*OC1C(C(C1(C)C)OC(=O)c1ccc(cc1)C(=O)*)(C)C,184.0,Polyesters/thioesters
P090538.mol,*OC(=O)C1CCC(CC1)C(=O)OCCCC*,-10.5,Polyesters/thioesters
P090539.mol,*OC(=O)c1cc2c(cc1)cc(cc2)C(=O)OCCCCCC*,59.33,Polyesters/thioesters
P090540.mol,*OC(=O)c1cc2c(cc1)cc(cc2)C(=O)OCCCCC*,50.83,Polyesters/thioesters
P090541.mol,*OC(=O)c1cc2c(cc1)cc(cc2)C(=O)OCCCC*,65.5,Polyesters/thioesters
P090542.mol,*OC(=O)c1cc2c(cc1)cc(cc2)C(=O)OCCC*,84.0,Polyesters/thioesters
P090543.mol,*Oc1c(cc(cc1C)C(c1cc(c(c(c1)C)OC(=O)CCCCCCCCC(=O)*)C)(C)C)C,45.0,Polyesters/thioesters
P090544.mol,*Oc1cc(cc(c1)C)OC(=O)c1cc(ccc1)C(=O)*,163.0,Polyesters/thioesters
P090546.mol,*OC(=O)C1CCC(CC1)C(=O)OCC(C*)(C)C,30.0,Polyesters/thioesters
P090549.mol,*Oc1cc(cc(c1)CCCCCCCCC)OC(=O)c1cc(ccc1)C(=O)*,41.5,Polyesters/thioesters
P090550.mol,*Oc1cc(cc(c1)CCCCCCCC)OC(=O)c1cc(ccc1)C(=O)*,50.5,Polyesters/thioesters
P090551.mol,*Oc1ccc(cc1)c1ccc(cc1)OC(=O)c1cc(cc(c1)CCCCC)C(=O)*,138.0,Polyesters/thioesters
P090552.mol,*OC(=O)c1c(c(ccc1)C(=O)OCC(C(C(C*)(F)F)(F)F)(F)F)OCCCCC,17.0,Polyesters/thioesters
P090553.mol,*OC(=O)c1c(ccc(c1)C(=O)OCC(C(C(C*)(F)F)(F)F)(F)F)OCCCCC,9.0,Polyesters/thioesters
P090554.mol,*OC(=O)c1cc(cc(c1)OCCCCC)C(=O)OCC(C(C(C*)(F)F)(F)F)(F)F,-30.0,Polyesters/thioesters
P090555.mol,*Oc1ccc(cc1)Cc1ccc(cc1)OC(=O)c1cc(cc(c1)OCCCCC)C(=O)*,110.0,Polyesters/thioesters
P090556.mol,*Oc1c(cc(cc1c1ccccc1)c1cc(c(c(c1)c1ccccc1)OC(=O)CCCCCCCCC(=O)*)c1ccccc1)c1ccccc1,98.0,Polyesters/thioesters
P090557.mol,*Oc1ccc(cc1)C1(c2ccccc2c2ccccc12)c1ccc(cc1)OC(=O)CCCCCCCCC(=O)*,151.0,Polyesters/thioesters
P090558.mol,*Oc1cc(ccc1)C(C(C(c1cc(ccc1)OC(=O)c1cc(ccc1)C(C(C(c1cc(ccc1)C(=O)*)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,74.0,Polyesters/thioesters
P090559.mol,*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)c1ccc(cc1)C(c1ccc(cc1)C(=O)*)(CC)C)(C)C,207.5,Polyesters/thioesters
P090560.mol,*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)c1cc(ccc1)C(C(C(c1cc(ccc1)C(=O)*)(F)F)(F)F)(F)F)(C)C,122.0,Polyesters/thioesters
