PID,TdValue,Smiles
P070693,500,*Oc1cc(c(cc1)C(=O)c1ccccc1)c1c(ccc(c1)Oc1ccc(cc1)C(c1ccc(cc1)*)(C(F)(F)F)C(F)(F)F)C(=O)c1ccccc1
P070694,473,*Oc1cc(c(cc1)C(=O)c1ccccc1)c1c(ccc(c1)Oc1ccc(cc1)c1ccc(cc1)*)C(=O)c1ccccc1
P070695,462,*Oc1ccc(cc1)Oc1cc(c(cc1)C(=O)c1ccccc1)c1c(ccc(c1)*)C(=O)c1ccccc1
P070720,393.8,*c1sc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)*)(C)C
P070727,493,*n1c(nc2c1cccc2)c1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)c1nc2c(n1c1ccc(cc1)c1ccc(cc1)*)cccc2
P070728,467,*c1nc2c(n1c1ccc(cc1)n1c(nc3c1cccc3)c1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)*)cccc2
P070729,484,*n1c(nc2c1cccc2)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)c1nc2c(n1c1ccc(cc1)c1ccc(cc1)*)cccc2
P070730,522,*c1nc2c(n1c1ccc(cc1)n1c(nc3c1cccc3)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)*)cccc2
P070731,510,*n1c(nc2c1cccc2)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)c1nc2c(n1c1ccc(cc1)c1ccc(cc1)*)cccc2
P070732,513,*c1nc2c(n1c1ccc(cc1)n1c(nc3c1cccc3)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)*)cccc2
P070733,515,*n1c(nc2c1cccc2)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1cc(ccc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)c1nc2c(n1c1ccc(cc1)c1ccc(cc1)*)cccc2
P070734,512,*c1nc2c(n1c1ccc(cc1)n1c(nc3c1cccc3)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1cc(ccc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)*)cccc2
P070735,502,*n1c(nc2c1cccc2)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)c1nc2c(n1c1ccc(cc1)c1ccc(cc1)*)cccc2
P070736,514,*c1nc2c(n1c1ccc(cc1)n1c(nc3c1cccc3)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)*)cccc2
P074249,410,*Oc1cc(ccc1)NC(=O)c1cc(ccc1)C(=O)Nc1ccc(cc1)*
P074292,430,*Oc1cc(ccc1)NC(=O)c1ccc(cc1)C(=O)c1cc(ccc1)C(=O)Nc1ccc(cc1)*
P074419,356.5,*c1oc(cc1)CC*
P074471,435,*Oc1ccc(cc1)NC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)Nc1ccc(cc1)*)c1ccccc1
P074473,450,*Oc1cc(ccc1)NC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)Nc1cc(ccc1)Oc1ccc(cc1)P(=O)(c1ccc(cc1)*)c1ccccc1)c1ccccc1
P074474,440,*Oc1ccc(cc1)NC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)Nc1ccc(cc1)Oc1ccc(cc1)P(=O)(c1ccc(cc1)*)c1ccccc1)c1ccccc1
P074602,245,*Oc1c(cc(c(c1)OC)*)OC
P080140,300,*c1sc2c(n1)ccc(c2)c1ccc2c(sc(n2)CCCCCCCC*)c1
P084418,398,*c1sc(cc1)CC*
P090005,363.1428571,*OC(=O)CCC(=O)OCCCC*
P090022,350,*OC(=O)CCCCCCCCC(=O)OCCCC*
P090023,338.5,*OC(=O)CCCCCCCCC(=O)OCCCCCC*
P090027,408.7625,*OC(=O)c1ccc(cc1)C(=O)OCC*
P090029,373.5666667,*OC(=O)c1ccc(cc1)C(=O)OCCCC*
P090032,370,*OC(=O)c1ccc(cc1)C(=O)OCCCCCC*
P090039,486,*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)c1ccc(cc1)C(=O)*)(C)C
P090043,410.5,*OC(=O)c1cc2c(cc1)cc(cc2)C(=O)OCC*
P090049,361,*OC(=O)CCC(=O)OCCCCCC*
P090089,355.6666667,*OC(=O)CCCCC*
P090175,251,*OC(CC(=O)*)C
P090176,331.456,*OC(C(=O)*)C
P090358,240,*Oc1c(cc(cc1)C=Nc1c2c(ccc1)c(ccc2)N=Cc1cc(c(cc1)OC(=O)c1cc(ccc1)C(=O)*)OC)OC
P090359,250,*Oc1c(cc(cc1)C=Nc1c2c(ccc1)c(ccc2)N=Cc1cc(c(cc1)OC(=O)c1ccc(cc1)C(=O)*)OC)OC
P090360,230,*Oc1c(cc(cc1)C=Nc1c2c(ccc1)c(ccc2)N=Cc1cc(c(cc1)OC(=O)CCCCCCCCC(=O)*)OC)OC
P090403,190,*Oc1c(cc(cc1)C=Nc1ccc(cc1)N=Cc1cc(c(cc1)OC(=O)CCCCC(=O)*)OC)OC
P090404,235,*Oc1c(cc(cc1)C=Nc1ccc(cc1)N=Cc1cc(c(cc1)OC(=O)c1cc(ccc1)C(=O)*)OC)OC
